TAZ,longitude_center,latitude_center,TAZ12_TEXT,RSA,CAA,ACRES,Area_SQMI
338,-117.90893246,33.82956208,0338,37,14,112.30025,0.1754691
339,-117.88489441,33.82902592,0339,37,16,160.735313,0.25114887
340,-117.87839277,33.8290204,0340,37,16,79.094931,0.1235858
341,-117.87289739,33.82937573,0341,37,16,119.209681,0.18626508
342,-117.87114249,33.82389491,0342,37,16,207.676316,0.32449402
343,-117.98863137,33.82711957,0343,37,13,99.68443,0.15576249
344,-117.91945798,33.82719659,0344,37,14,139.13634,0.21740048
345,-117.92929668,33.82545861,0345,37,15,124.242326,0.19412859
346,-117.96324979,33.82690256,0346,37,13,83.962983,0.13119213
347,-117.9503048,33.82700697,0347,37,15,166.322529,0.2598789
348,-117.97176754,33.82678952,0348,37,13,77.859909,0.12165607
349,-117.93710778,33.82533397,0349,37,15,159.173696,0.24870884
350,-117.99746782,33.82160127,0350,37,13,184.698311,0.28858891
351,-117.90666228,33.82581147,0351,37,14,72.372372,0.1130818
352,-117.89493669,33.82243008,0352,37,16,255.781614,0.3996587
353,-117.91323196,33.82429317,0353,37,14,55.398967,0.08656086
354,-117.98900079,33.82112776,0354,37,13,163.009989,0.25470305
355,-117.98024738,33.82121046,0355,37,13,162.96495,0.25463268
356,-117.97174985,33.82128671,0356,37,13,153.081365,0.23918958
357,-117.96327899,33.82136139,0357,37,13,160.575029,0.25089843
358,-117.9545329,33.82144069,0358,37,13,162.114551,0.25330392
359,-117.94578647,33.82153846,0359,37,15,161.035302,0.25161761
360,-117.91197967,33.82036399,0360,37,14,166.129054,0.25957659
361,-118.00611087,33.82027789,0361,37,13,129.196602,0.20186965
362,-117.88490768,33.82174117,0362,37,16,161.06014,0.25165641
363,-117.87840144,33.82173501,0363,37,16,79.994729,0.12499174
364,-117.90489859,33.82107921,0364,37,14,121.137091,0.18927664
365,-117.92608284,33.8202441,0365,37,15,145.872802,0.2279262
366,-117.93708576,33.81984523,0366,37,15,82.507722,0.12891828
367,-118.01513049,33.81361872,0367,35,12,159.034943,0.2484954
368,-118.00518156,33.81529219,0368,37,22,71.969576,0.11244252
369,-117.91979109,33.81053911,0369,37,15,319.516175,0.49924392
370,-117.91031844,33.81413115,0370,37,14,155.780149,0.24340643
371,-117.97173332,33.81398327,0371,37,22,152.463047,0.23822646
372,-117.96325548,33.81408265,0372,37,13,160.35541,0.25055526
373,-117.95451104,33.81418378,0373,37,13,161.868947,0.25292017
374,-117.94576542,33.81421564,0374,37,15,162.444255,0.25381909
375,-117.93707228,33.81426701,0375,37,15,162.809027,0.25438905
376,-117.93055863,33.81429457,0376,37,15,82.406183,0.12875961
377,-117.90481418,33.81426547,0377,37,16,76.148789,0.11898245
378,-117.90059152,33.81417758,0378,37,16,82.276648,0.12855724
379,-118.00737649,33.8123444,0379,37,22,88.458648,0.1382314
380,-117.89393593,33.81459625,0380,37,16,175.839301,0.27474884
381,-117.88350788,33.81466759,0381,37,16,211.232343,0.33005046
382,-117.91211172,33.80967333,0382,37,15,104.934343,0.16395988
383,-117.88393591,33.8078003,0383,37,16,158.178826,0.24715507
384,-117.96323438,33.80862741,0384,37,13,80.32463,0.12550902
385,-117.95450722,33.80869233,0385,37,13,82.580297,0.12903169
386,-117.94577593,33.80870373,0386,37,15,81.373666,0.12714632
387,-117.93748765,33.80886372,0387,37,15,71.753333,0.11211456
388,-117.93670801,33.80536357,0388,37,15,92.031587,0.14379932
389,-117.93052246,33.80687408,0389,37,15,79.952699,0.12492607
390,-117.92619426,33.8069353,0390,37,15,80.563329,0.12588446
391,-117.90227713,33.80887291,0391,37,16,69.569782,0.10870684
392,-117.89434732,33.80968586,0392,37,16,37.100069,0.05796884
393,-117.89098036,33.80808316,0393,37,16,27.790813,0.04342313
394,-117.8940023,33.80559987,0394,37,16,95.560052,0.14931254
395,-117.9008467,33.80556063,0395,37,16,61.71515,0.09642582
396,-117.96321616,33.80495529,0396,37,13,81.923865,0.12800466
397,-117.9545116,33.80497773,0397,37,13,82.322361,0.12862866
398,-117.94577263,33.80500406,0398,37,15,82.345305,0.1286645
399,-117.90966133,33.80493192,0399,37,15,98.19302,0.15342656
400,-117.88767118,33.80443441,0400,42,26,15.659577,0.02446692
401,-117.8838056,33.80296268,0401,42,26,31.480052,0.04918744
402,-117.93700371,33.79956532,0402,37,15,160.358399,0.25055994
403,-117.92829075,33.79964065,0403,37,15,160.490451,0.25076628
404,-117.91959957,33.80149631,0404,37,15,93.471022,0.14604844
405,-117.91084979,33.79971768,0405,37,15,159.285589,0.24888366
406,-117.90203048,33.79754004,0406,37,15,233.209513,0.36438981
407,-117.89390705,33.80023088,0407,37,16,163.592051,0.2556125
408,-117.88374473,33.799157,0408,42,26,178.529751,0.27895273
409,-117.91897677,33.7976747,0409,37,15,67.209238,0.10501442
410,-117.91064041,33.7924817,0410,37,25,160.085961,0.25013426
411,-117.92625404,33.8143553,0411,37,15,80.39066,0.12560607
412,-117.83861672,33.84510357,0412,42,28,193.259191,0.30196507
413,-117.84834645,33.8413861,0413,42,28,194.542026,0.30396988
414,-117.85651025,33.83865915,0414,42,28,159.518644,0.24924763
415,-117.83896484,33.83917738,0415,42,28,190.227539,0.29722536
416,-117.81863143,33.83186906,0416,42,28,307.964361,0.48119419
